bus_id,region,latitude,longitude,area_km2
Aveiro,Aveiro,40.723562191387614,-8.46491855758115,3620.5184707085214
Azores,Azores,38.34802175212257,-27.28376422525958,2949.6480761051707
Beja,Beja,37.829705958094344,-7.943892478520178,12940.851383123374
Braga,Braga,41.55295905303302,-8.30943298244566,3595.7080476943
Bragança,Bragança,41.50939616854986,-6.859319866269767,8765.857405931543
Castelo Branco,Castelo Branco,39.94648134225881,-7.5016175580874105,8604.646760461159
Coimbra,Coimbra,40.20443154038461,-8.33575791878709,5177.495875461072
Évora,Évora,38.60387237637547,-7.841807604057463,9420.256259438032
Faro,Faro,37.244943241296134,-8.133239626706526,6213.30860544938
Guarda,Guarda,40.641315059256996,-7.229580631745369,7259.338795547604
Leiria,Leiria,39.717774095700044,-8.774285948573114,4524.971389920237
Lisboa,Lisboa,39.000312994105556,-9.16574437537148,3537.595457419261
Madeira,Madeira,32.75703537215777,-16.954401595842153,947.0632703274756
Portalegre,Portalegre,39.19005984938324,-7.620446580617856,7815.268839442491
Porto,Porto,41.22466746459883,-8.352363615899884,3082.2773773831677
Santarém,Santarém,39.29358734897241,-8.477468108868448,8640.724897765705
Setúbal,Setúbal,38.309760109941905,-8.644852580137663,6372.165161568711
Viana do Castelo,Viana do Castelo,41.877919714460866,-8.50694999256862,2964.070933152415
Vila Real,Vila Real,41.554964217737734,-7.631682452813861,5727.664265983175
Viseu,Viseu,40.798871811640616,-7.870900985261002,6586.366505801159
