sensitivity_key,re_potential_pct,objective_meur_per_yr,demand_twh,total_generation_twh,renewable_generation_twh,renewable_share_pct,co2_mt,renewable_curtailment_twh,renewable_curtailment_pct
re_potential_25pct,25,3148.255008235875,51.402185800000005,55.609946068813294,27.43996667881329,49.34363116421352,0.0,8.277807503605102,23.17559728478194
re_potential_50pct,50,3068.5857950072927,51.402185800000005,55.5789529695794,27.408973579579396,49.31538309939274,0.0,8.648046340139441,23.98436243315273
re_potential_75pct,75,3059.127064573363,51.402185800000005,55.57499964131245,27.405020251312454,49.31177764856079,0.0,9.180932251927887,25.094145768419587
re_potential_100pct,100,3058.7532161386594,51.402185800000005,55.57236283637434,27.402383446374344,49.30937258697661,0.0,9.17088521237176,25.075377587774458
