Scenario,Technology,Generation (MWh),Generation (TWh)
baseline,Solar PV,16888305.388010476,16.888305388010476
baseline,Natural Gas,16046527.74340683,16.04652774340683
baseline,Hydro,11755211.460926566,11.755211460926565
baseline,Wind Offshore,8342203.125488115,8.342203125488114
baseline,Wind Onshore,76.0532408213724,7.60532408213724e-05
