time,C|solar_pv,C|wind_offshore,C|wind_onshore,E|solar_pv,E|wind_offshore,E|wind_onshore,N|solar_pv,N|wind_offshore,N|wind_onshore,S|solar_pv,S|wind_offshore,S|wind_onshore,W|solar_pv,W|wind_offshore,W|wind_onshore
2024-01-01 00:00:00,0.0,0.0,0.01868178178282079,0.0,0.0,0.007703078058613795,0.0,0.004457464905450306,0.0009208159884052473,0.0,0.02115818235313273,0.012942146151497552,0.0,0.0,0.00017300842744103048
2024-01-01 01:00:00,0.0,0.0,0.008693076680413615,0.0,0.0,0.0012770007518278041,0.0,0.01378623796105688,0.001081456149347201,0.0,0.012054850617732243,0.0022117637701016884,0.0,0.0,0.00010375395681665396
2024-01-01 02:00:00,0.0,0.0,0.005891599769559881,0.0,0.0,0.0013435778672491417,0.0,0.03267879232776558,0.001253583145734902,0.0,0.0,0.0010722882610210494,0.0,0.014720747139436016,0.00010163072068263457
2024-01-01 03:00:00,0.0,0.0,0.01037715368063108,0.0,0.0,0.0037094598014070102,0.0,0.05166829594166165,0.0013842594070863606,0.0,0.0,0.005116727876060199,0.0,0.016577816996052104,0.00013393028669396229
2024-01-01 04:00:00,0.0,0.0,0.010619540166311016,0.0,0.0,0.004571988282985051,0.0,0.07958608079634029,0.005590233379798882,0.0,0.0,0.011759625369970236,0.0,0.02654253038875619,0.00030658945838780754
2024-01-01 05:00:00,0.0,0.0,0.008136211597390046,0.0,0.0,0.005736958135867676,0.0,0.13603136576282987,0.006083969664369096,0.0,0.0,0.013709035566276784,0.0,0.07585997691025863,0.0011221013896915387
2024-01-01 06:00:00,0.0,0.0,0.013625501856853184,0.0,0.0,0.0017680853780846972,0.0,0.1363512200952323,0.004656550433048088,0.0,0.0,0.010974748744803638,0.0,0.075864492266968,0.0017442109311511648
2024-01-01 07:00:00,0.0,0.0,0.016669423472270732,0.0,0.0,0.00012027728206048066,0.0,0.15697650636383556,0.00787611206420534,0.0,0.0,0.005155543814218803,0.0,0.07319455444123023,0.0014633924265523423
2024-01-01 08:00:00,0.0,0.0,0.014028169669320627,0.0,0.0,7.231347577425842e-05,0.0,0.18784225918798925,0.009498683003962782,0.0,0.001189652668552653,0.005311223371548373,0.0,0.12099332333995746,0.0033518470314715565
2024-01-01 09:00:00,0.1688429461080287,0.00032967542553958407,0.0077268730756427425,0.084514925859063,0.0,4.25349304729688e-05,0.1097213063873515,0.26656081664255293,0.0113717893916836,0.11574538949095706,0.0021604546500848124,0.004226177054135779,0.10432131152527936,0.1714136772154771,0.010654706362375897
2024-01-01 10:00:00,0.36786283108756146,0.05794158268451057,0.008023991685372133,0.21489618529897603,0.0,6.853832163851502e-05,0.28297523720987805,0.28993001696335696,0.011236885119768466,0.2744635655099099,0.0,0.001325552909074396,0.23991937513774314,0.17475994946458057,0.018570022873518763
2024-01-01 11:00:00,0.5262007370319374,0.07253910135616241,0.00044268317972251755,0.3607004453313228,0.0,8.900240558619498e-07,0.3751108741550014,0.3852684964772681,0.010831273384307063,0.43350637742996206,0.0,8.497340708069253e-05,0.3544479094426545,0.16427153116186496,0.013459248868346846
2024-01-01 12:00:00,0.6314795361284956,0.07099004883560961,0.0003236394909487866,0.5759853601831267,0.0,0.0,0.4461019306643411,0.5933649668023119,0.028237479144142236,0.6165370553482905,0.0,1.1584523645478852e-05,0.5546124394587708,0.14896779931531443,0.010014293281535528
2024-01-01 13:00:00,0.6714329923286155,0.06793604739972717,0.00014888687366481775,0.6806648290872616,0.0,0.0002146442918849837,0.5252598220126541,0.7378758973506254,0.04561089799935742,0.7033543326112491,0.0,3.254679843782491e-05,0.6008739774951068,0.2037513620758707,0.013231013003056815
2024-01-01 14:00:00,0.6406479943205404,0.09518934627175649,0.00041603826465047756,0.6408926549110543,0.0,0.0020523734198160943,0.4455126674779845,0.6807517204995728,0.05472331348340188,0.6395386779892072,0.0,0.00046229880348637236,0.5708351163189381,0.2074719815460081,0.018628632974609798
2024-01-01 15:00:00,0.5129447449746407,0.07844461902178754,0.00031957685766657526,0.546625910509136,0.0,0.004850936065879318,0.2541239902475244,0.669112984163222,0.06686874538954678,0.48944017553202074,0.0,0.01204756660010135,0.435450591935981,0.2021281738758156,0.017198526944938657
2024-01-01 16:00:00,0.37196839005353816,0.02663483439886001,0.00016429230883760647,0.33296450898836555,0.0,0.009743777410846666,0.11547976837147648,0.6369803927493868,0.07157883493775588,0.30334724587264394,0.0,0.00868030969154342,0.1880882849501552,0.2171347411944789,0.014018574532937957
2024-01-01 17:00:00,0.15203505953893418,0.02973530149646118,5.535454499990866e-05,0.10582816144387436,0.0,0.003508240232002597,0.030621786473050663,0.635792688520652,0.04970645430581594,0.1404230591704392,0.0,0.00102746110249987,0.07540593850222296,0.2382349828017395,0.012212772316271289
2024-01-01 18:00:00,0.0,0.0681452189034475,0.0005014829287217866,0.0,0.0,0.0014964741501256108,0.0,0.7739702112912703,0.05836525912597735,0.0,0.0,0.0008426866250861765,0.0,0.2795943837638975,0.01665666540058834
2024-01-01 19:00:00,0.0,0.06976536994680388,0.0007624556228097099,0.0,0.0,0.007228169823116045,0.0,0.9281585260385012,0.08818508854028535,0.0,0.0,0.0007292568178126845,0.0,0.39565794624342626,0.023655641710305604
2024-01-01 20:00:00,0.0,0.13739123540810386,0.005586416701926701,0.0,0.0,0.030171545501058755,0.0,0.9697127311818562,0.09112589651928621,0.0,0.0013948903809254973,0.005757057720917802,0.0,0.5453682089066394,0.06873423867430725
