time,C,E,N,S,W,PT_total_check
2024-07-10 09:00:00,2452.2635178685173,571.1313874161536,1795.3773772389313,522.2752616798064,1386.4524557965917,6727.5
2024-07-10 10:00:00,2442.093595587056,568.7628157760332,1787.9316650390108,520.1093040728399,1380.7026195250608,6699.600000000001
2024-07-10 11:00:00,2441.1094095598173,568.5335991656989,1787.2111122454698,519.8996952721657,1380.1461837568481,6696.9
2024-07-10 12:00:00,2366.5664308301093,551.1725633089017,1732.6359099198864,504.0237694433258,1338.0013264977765,6492.4
2024-07-10 13:00:00,2305.619799810025,536.9781124763515,1688.0150110013658,491.043550379355,1303.5435263329025,6325.2
2024-07-10 14:00:00,2334.4528052746705,543.6933102087362,1709.1245391380585,497.1843119102168,1319.8450334683187,6404.3
2024-07-10 15:00:00,2337.624071362438,544.4318970642577,1711.4463203616895,497.85971804572245,1321.6379931658928,6413.000000000001
2024-07-10 16:00:00,2343.346930854156,545.7647492058309,1715.6362014204262,499.0785544051982,1324.8735641143885,6428.7
2024-07-10 17:00:00,2343.4198335228407,545.7817282140037,1715.6895757014292,499.0940809830259,1324.9147815787007,6428.900000000001
2024-07-10 18:00:00,2370.430272270378,552.0724507420657,1735.4647468130465,504.8466780681948,1340.1858521063152,6502.999999999999
2024-07-10 19:00:00,2509.565015454386,584.4768878400583,1837.3295621073014,534.4791518523913,1418.8493827458633,6884.700000000001
2024-07-10 20:00:00,2509.2369534453064,584.4004823032803,1837.0893778427878,534.4092822521666,1418.6639041564592,6883.800000000001
2024-07-10 21:00:00,2483.320054728034,578.364444897812,1818.1148209462158,528.8895838344134,1404.0110955935252,6812.7
2024-07-10 22:00:00,2341.4514614683644,545.3232949933353,1714.2484701143478,498.6748633816776,1323.8019100422753,6423.500000000001
2024-07-10 23:00:00,2134.772395748342,497.1878068231444,1562.932383470799,454.65701524010194,1206.9503987176129,5856.500000000001
2024-07-11 00:00:00,1975.3342593357536,460.05471594899717,1446.2028309172044,420.70038953088647,1116.8078042671589,5419.1
2024-07-11 01:00:00,1855.5916260217725,432.1666950249977,1358.5355743697517,395.1979854488625,1049.1081191346161,5090.6
2024-07-11 02:00:00,1786.334090771677,416.0366372607362,1307.830007416887,380.447736512532,1009.9515280381685,4900.600000000001
2024-07-11 03:00:00,1746.7114903417535,406.8085463187613,1278.8210856917478,372.00904146316816,987.549836184569,4791.9
2024-07-11 04:00:00,1736.6144707289766,404.4569536868137,1271.4287477728303,369.85861043402946,981.8412173773501,4764.2
2024-07-11 05:00:00,1754.1475625475534,408.5404051523978,1284.2652623540557,373.59275240159525,991.7540175443982,4812.3
2024-07-11 06:00:00,1826.1024965389686,425.29868621905683,1336.9456777040318,388.9174847175512,1032.4356548203918,5009.700000000001
2024-07-11 07:00:00,2021.591002615949,470.8278966347065,1480.0688122136178,430.5520031625724,1142.9602853731546,5546.000000000001
2024-07-11 08:00:00,2317.3935808025417,539.720222296276,1696.6349573833527,493.5510926985312,1310.2001468192987,6357.500000000001
2024-07-11 09:00:00,2416.9421748909685,562.9050579563803,1769.5175380929704,514.7526347222778,1366.4825943374035,6630.6
2024-07-11 10:00:00,2410.8912533901707,561.495800278029,1765.08747276972,513.4639287625773,1363.0615447995033,6614.000000000001
2024-07-11 11:00:00,2406.845155278191,560.5534653244326,1762.1252001740527,512.602203693139,1360.7739755301843,6602.9
2024-07-11 12:00:00,2396.201365650282,558.0745301311882,1754.3325551476123,510.3353233302925,1354.756225740625,6573.7
2024-07-11 13:00:00,2354.3916851598296,548.3370689440262,1723.722404992383,501.4308309460972,1331.1180099576643,6459.000000000001
2024-07-11 14:00:00,2394.7068609422536,557.7264604636438,1753.2383823870507,510.0170284848243,1353.911267722228,6569.600000000001
2024-07-11 15:00:00,2405.0225885610835,560.12899012011,1760.7908431489773,512.2140392474462,1359.743538922383,6597.9
2024-07-11 16:00:00,2407.865792639772,560.7911714388533,1762.872440108095,512.819575782727,1361.3510200305532,6605.700000000001
2024-07-11 17:00:00,2386.104346037505,555.7229374992407,1746.9402172286948,508.1848923011538,1349.047606933406,6546.000000000001
2024-07-11 18:00:00,2428.9346638895377,565.6981048008234,1778.2976073179664,517.3067567749371,1373.2628672167357,6663.5
2024-07-11 19:00:00,2556.9152987648463,595.5047536483614,1871.99615761876,544.5636641514931,1445.6201258165402,7014.6
2024-07-11 20:00:00,2570.074230462364,598.5694646235711,1881.6302153398042,547.3662114493958,1453.059878124865,7050.700000000001
2024-07-11 21:00:00,2542.845083708774,592.2278050709904,1861.6949213851778,541.5670346307438,1437.6651552043143,6975.999999999999
2024-07-11 22:00:00,2383.9901686456597,555.2305462622264,1745.3923630796073,507.73462154415,1347.8523004683566,6540.2
2024-07-11 23:00:00,2187.3352198697303,509.4296717158102,1601.415240073973,465.85167785388535,1236.668190486601,6000.7
2024-07-12 00:00:00,2029.8290041772764,472.746524558245,1486.1001059669586,432.3065064571044,1147.6178588404164,5568.600000000001
2024-07-12 01:00:00,1920.7301604912045,447.3374388274899,1406.225494445946,409.07098273792695,1085.9359234974331,5269.300000000001
2024-07-12 02:00:00,1845.7497657493905,429.87452892165527,1351.3300464343445,393.1018974421208,1043.5437614524894,5063.6
2024-07-12 03:00:00,1812.4696974950025,422.1236116907233,1326.964687156468,386.01401466376825,1024.7279889940385,4972.300000000001
2024-07-12 04:00:00,1790.4530915523403,416.99595122250537,1310.8456542935571,381.3249881597979,1012.2803147717991,4911.9
2024-07-12 05:00:00,1798.9462524540625,418.97400567464905,1317.0637580304085,383.13383447672686,1017.082149364153,4935.2
2024-07-12 06:00:00,1826.867974560154,425.47696580487235,1337.5061076545635,389.08051378474227,1032.8684381956684,5011.8
2024-07-12 07:00:00,2001.1053527156575,466.0567953381197,1465.0706392517704,426.18903479298416,1131.3781779014687,5489.800000000001
2024-07-12 08:00:00,2258.1966138308812,525.9332676598757,1653.2950412089044,480.9435115024256,1276.731565797914,6195.100000000001
2024-07-12 09:00:00,2317.1748727964887,539.6692852717572,1696.4748345403436,493.50451296504804,1310.0764944263626,6356.9
2024-07-12 10:00:00,2327.563503084003,542.0887939363964,1704.0806695832732,495.7170503054976,1315.9499830908296,6385.400000000001
2024-07-12 11:00:00,2329.4954238041373,542.5387376529785,1705.4950880298532,496.1285046179321,1317.042245895099,6390.7
2024-07-12 12:00:00,2276.057767658537,530.0931246622379,1666.3717400546432,484.7475230702161,1286.8298445543662,6244.099999999999
2024-07-12 13:00:00,2259.2537025268034,526.1794632783827,1654.068968283448,481.1686468809275,1277.3292190304387,6198.0
2024-07-12 14:00:00,2311.051048627007,538.2430485852332,1691.9913949360905,492.20028042751994,1306.6142274241504,6340.1
2024-07-12 15:00:00,2311.597818642139,538.37039114653,1692.3917020436131,492.3167297612278,1306.923358406491,6341.6
2024-07-12 16:00:00,2310.1397652684527,538.0308109830718,1691.3242164235528,492.00619820467347,1306.0990091202498,6337.6
2024-07-12 17:00:00,2300.407258999097,535.7641133919886,1684.1987499096501,489.93340006467326,1300.5964776345909,6310.9
2024-07-12 18:00:00,2357.7087565849656,549.1096138158935,1726.1509347780204,502.13729023725836,1332.9934045838627,6468.1
2024-07-12 19:00:00,2467.0263082770903,574.5696365711673,1806.185669142042,525.4193936899188,1394.798992319782,6768.000000000001
2024-07-12 20:00:00,2502.056040579902,582.728049998249,1831.832011163991,532.8799143361366,1414.6039839217221,6864.1
2024-07-12 21:00:00,2466.989856942748,574.5611470670808,1806.1589820015404,525.411630401005,1394.778383587626,6767.900000000001
2024-07-12 22:00:00,2331.609601195982,543.0311288899928,1707.0429421789408,496.5787753749359,1318.2375523601486,6396.5
2024-07-12 23:00:00,2133.132085702945,496.80577913925396,1561.7314621482312,454.3076672389783,1206.0230057705917,5852.0
2024-07-13 00:00:00,1978.6148794265478,460.81877131677794,1448.6046735623402,421.3990855331337,1118.662590161201,5428.1
2024-07-13 01:00:00,1865.3970349598123,434.45037162425365,1365.714415164657,397.28631016669027,1054.651868084587,5117.5
2024-07-13 02:00:00,1792.494366275501,417.4713634513468,1312.3401341616418,381.759732338974,1013.4344037725366,4917.5
2024-07-13 03:00:00,1742.3008788863528,405.78131632430046,1275.5919416910656,371.06968350459135,985.05617959369,4779.8
2024-07-13 04:00:00,1713.1033600782862,398.98122355105124,1254.2155421493578,364.851289084591,968.5485851367138,4699.7
2024-07-13 05:00:00,1678.3287871158698,390.8822366525747,1228.7560101109195,357.4451114607703,948.8878546598659,4604.3
2024-07-13 06:00:00,1655.6560571550492,385.60176511080067,1212.156608718982,352.6163457563506,936.0692232588183,4542.1
2024-07-13 07:00:00,1726.8455131252788,402.18176659164413,1264.2765941184261,367.77804900511546,976.3180771595353,4737.4
2024-07-13 08:00:00,1835.835002808324,427.56538381013985,1344.0711442179343,390.9902828575513,1037.9381863060505,5036.400000000001
2024-07-13 09:00:00,1895.1777751173533,441.38629646288604,1387.5178089543888,403.62891720931236,1071.4892022560593,5199.199999999999
2024-07-13 10:00:00,1921.6778951841004,447.55816593373765,1406.919360098985,409.2728282496872,1086.4717505334897,5271.9
2024-07-13 11:00:00,1922.6256298769965,447.77889303998546,1407.6132257520242,409.47467376144755,1087.0075775695464,5274.5
2024-07-13 12:00:00,1947.8864045761104,453.66211937189775,1426.107414119569,414.8546329787513,1101.2894289536719,5343.8
2024-07-13 13:00:00,1864.4857516012585,434.2381340220923,1365.0472366521194,397.09222794384385,1054.1366497806862,5115.0
2024-07-13 14:00:00,1815.0577422332954,422.72636648086143,1328.8594741320749,386.56520817665216,1026.191208977116,4979.4
2024-07-13 15:00:00,1786.589250112072,416.0960637893414,1308.0168174003975,380.502079534929,1010.0957891632606,4901.300000000001
2024-07-13 16:00:00,1779.590593918378,414.4660790047423,1302.8928864241082,379.01152806346823,1006.1389125893038,4882.1
2024-07-13 17:00:00,1832.6272853862145,426.818307450532,1341.7226758538018,390.30711343313186,1036.1246178763204,5027.6
2024-07-13 18:00:00,1952.6615293749326,454.7742444072231,1429.6034295252664,415.87162382646665,1103.989172866111,5356.9
2024-07-13 19:00:00,2077.142836153394,483.7659008624615,1520.7400143379152,442.3832554672922,1174.367993178937,5698.4
2024-07-13 20:00:00,2124.0192521174063,494.68340311764064,1555.0596770228544,452.36684501051377,1200.8708227315853,5827.000000000002
2024-07-13 21:00:00,2140.0578392279544,498.41878491568013,1566.8020188435178,455.7826921326114,1209.9386648802365,5871.0
2024-07-13 22:00:00,2037.4108817204444,474.51234140822726,1491.6510311912718,433.9212705511868,1151.9044751288695,5589.4
2024-07-13 23:00:00,1909.6854061855313,444.7651190892945,1398.139290873989,406.7187061970279,1079.6914776541576,5239.0
2024-07-14 00:00:00,1779.6634965870624,414.4830580129152,1302.946260705111,379.02705464129593,1006.1801300536158,4882.3
2024-07-14 01:00:00,1688.1341960539096,393.16591325183066,1235.934850905825,359.53343617859815,954.4316036098365,4631.2
2024-07-14 02:00:00,1613.044447309069,375.6775348337366,1180.9593414727192,343.5410610160504,911.9776153684248,4425.2
2024-07-14 03:00:00,1566.4960933541365,364.8364381153356,1146.8798630522938,333.6273410730535,885.6602644051807,4297.5
2024-07-14 04:00:00,1541.2717699893649,358.96170128750987,1128.4123618252506,328.25514514466374,871.3990217532114,4228.300000000001
2024-07-14 05:00:00,1514.115525904459,352.6370207431021,1108.5304421516273,322.4714949038394,856.0455162969727,4153.8
2024-07-14 06:00:00,1475.3313061644053,343.6041883951156,1080.1353246580231,314.21135549949435,834.1178252829618,4047.4000000000005
2024-07-14 07:00:00,1529.1699269877693,356.1431859308073,1119.5522311787502,325.67773322526284,864.5569226774111,4195.1
2024-07-14 08:00:00,1584.0291851727134,368.91988958091974,1159.7163776335192,337.3614830406193,895.5730645722289,4345.6
2024-07-14 09:00:00,1685.8013106560118,392.62258499029764,1234.2268739137287,359.03658568811124,953.112644751851,4624.800000000001
2024-07-14 10:00:00,1773.211610408501,412.98041578961295,1298.2226368363442,377.6529525035431,1002.5323844619994,4864.600000000001
2024-07-14 11:00:00,1833.7572767508211,427.08148207721206,1342.5499772093483,390.5477753894614,1036.763488573157,5030.7
2024-07-14 12:00:00,1871.885372472716,435.96150335164236,1370.4647261739256,398.66817559335703,1058.3202224083595,5135.3
2024-07-14 13:00:00,1795.264667685505,418.1165657619173,1314.3683568397564,382.3497422964272,1015.0006674163947,4925.1
2024-07-14 14:00:00,1743.3944189166175,406.03600144689403,1276.3925559061108,371.3025821720071,985.6744415583707,4782.8
2024-07-14 15:00:00,1724.3668223900124,401.6044803137654,1262.4618685643238,367.25014535897316,974.9166833729257,4730.6
2024-07-14 16:00:00,1728.740982511071,402.6232208041398,1265.6643254245048,368.18174002863617,977.3897312316487,4742.6
2024-07-14 17:00:00,1764.6819981724364,410.9938718333828,1291.9778459589913,375.8363428977002,997.7099411374894,4841.2
2024-07-14 18:00:00,1887.6688002428696,439.6374586210767,1382.0202580110783,402.02967969305763,1067.2438034319184,5178.600000000001
2024-07-14 19:00:00,2042.5140685283461,475.70087198033076,1495.387230861483,435.00813099912693,1154.7896976307131,5603.4
2024-07-14 20:00:00,2099.9613714515835,489.08033042058133,1537.4461642918593,447.2430743273674,1187.2690595086087,5761.0
2024-07-14 21:00:00,2103.096186205009,489.8104277720164,1539.741258374989,447.91071717395926,1189.041410474027,5769.6
