Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Vale Serrao Solar Farm,Solar,PV,PP,Portugal,2.4,,2023.0,,,40.0093,-7.958,,,,,{},{'GEM': {'G100001004245'}}
Valhascos Solar,Solar,PV,PP,Portugal,17.5,,2020.0,,,38.214,-7.257,,,,,{},{'GEM': {'G100001010441'}}
Valpacos Solar Farm,Solar,PV,PP,Portugal,30.0,,,,,41.6068,-7.3058,,,,,{},{'GEM': {'G100000827344'}}
Ventominho Wind Farm,Wind,Onshore,PP,Portugal,51.0,,2008.0,,,42.0119,-8.3225,,,,,{},"{'GEM': {'G100000916852', 'G100000914319'}}"
Ventominho Wind Farm,Wind,Onshore,PP,Portugal,66.0,,2007.0,,,42.0183,-8.2439,,,,,{},"{'GEM': {'G100000910910', 'G100000918830'}}"
Ventominho Wind Farm,Wind,Onshore,PP,Portugal,52.0,,2008.0,,,42.0812,-8.2067,,,,,{},"{'GEM': {'G100000915211', 'G100000916666'}}"
Ventominho Wind Farm,Wind,Onshore,PP,Portugal,52.0,,2007.0,,,42.0082,-8.4259,,,,,{},"{'GEM': {'G100000916023', 'G100000916022'}}"
Ventominho Wind Farm,Wind,Onshore,PP,Portugal,38.0,,2008.0,,,41.98535,-8.562650000000001,,,,,{},"{'GEM': {'G100000916291', 'G100000910911'}}"
Verdizela Solar,Solar,PV,PP,Portugal,8.8,,2014.0,,,38.597,-9.163,,,,,{},{'GEM': {'G100001010459'}}
Viana Mill,Solid Biomass,,,Portugal,25.0,,2002.0,,,41.6998,-8.715,,,,,{},{'GEM': {'G100001053621'}}
Viana Mill,Natural Gas,CCGT,CHP,Portugal,71.0,,2008.0,,,41.6998,-8.715,,,,,{},"{'GEM': {'G100000410463', 'G100000410464'}}"
Vigia Wind Farm,Wind,Onshore,PP,Portugal,29.0,,2018.0,,,40.6276,-7.9611,,,,,{},{'GEM': {'G100000916325'}}
Vilarchao Wind Farm,Wind,Onshore,PP,Portugal,3.6,,2005.0,,,41.5516,-8.4191,,,,,{},"{'GEM': {'G100000925487', 'G100000925486'}}"
Vitoria,Oil,CCGT,,Portugal,172.5,,1980.0,,,32.648,-16.9676,,,,,{},"{'GEM': {'G100001000187', 'G100001000188'}}"
Vitoria,Solid Biomass,,,Portugal,4.2,,2011.0,,,32.648,-16.9676,,,,,{},{'GEM': {'G100000200973'}}
Windfloat Atlantic Offshore Wind Farm,Wind,Offshore,PP,Portugal,25.0,,2020.0,,,41.651,-9.306,,,,,{},{'GEM': {'G100000915864'}}
Alco,Battery,Li,Store,Portugal,5.0,,,,,37.47,-7.47,,,,20.0,{},{'EESI': {'EESI-63258'}}
Alqueva,Battery,Li,Store,Portugal,1.0,,,,,38.21,-7.54,,,,2.0,{},{'EESI': {'EESI-62583'}}
Distribut,Battery,Li,Store,Portugal,0.6,,,,,39.3999,-8.2245,,,,0.3,{},{'EESI': {'EESI-64702'}}
Flores Powerstore,Mechanical Storage,,Store,Portugal,0.5,,,,,41.1456,-8.6153,,,,,{},{'EESI': {'EESI-64563'}}
Graciosa Powerstore,Mechanical Storage,,Store,Portugal,0.5,,,,,39.0833,-28.0333,,,,,{},{'EESI': {'EESI-61598'}}
Graciosa Solar Wind Plus,Battery,Li,Store,Portugal,4.0,,,,,39.07,-27.99,,,,3.2,{},{'EESI': {'EESI-64104'}}
Graciosa Younicos Recharge,Battery,Li,Store,Portugal,6.0,,,,,39.05,-28.03,,,,3.18,{},{'EESI': {'EESI-62005'}}
Madeira Es,Battery,Li,Store,Portugal,22.5,,,,,32.75,-16.94,,,,15.6,{},{'EESI': {'EESI-60955'}}
Ribatejo Natural Gas Flexnconfu,Hydrogen Storage,,Store,Portugal,1.0,,,,,39.4833,-8.9833,,,,,{},{'EESI': {'EESI-65135'}}
Terceira Battery Island,Battery,Li,Store,Portugal,15.0,,,,,38.6667,-27.2167,,,,15.0,{},{'EESI': {'EESI-60777'}}
