,wind_onshore,wind_offshore,solar_pv,total_mw,total_gw
N,6083.248171970921,18.32973396828867,22132.486036476403,28234.06394241561,28.23406394241561
S,5306.428943470066,217.82434307407337,22902.877398551507,28427.130685095646,28.427130685095648
W,2183.3006198261187,108.90027774491975,11846.249381427158,14138.450278998196,14.138450278998196
E,9382.353011977526,0.0,34760.1370860643,44142.490098041824,44.142490098041826
C,4148.881169155912,10.411599488547992,17587.880606533665,21747.173375178125,21.747173375178125
